Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
TT::probe,42.304143,42.304143,0.0,0.0,63673700000,5.7,5.7,3.366557,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x140247050
"std::_Atomic_storage<unsigned __int64,8>::load",26.164233,26.164233,0.0,0.0,27140690000,4.3,4.3,4.889539,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246ef3
Attacks::`anonymous namespace'::sliderLookup,13.744072,13.744072,0.0,0.0,182239760000,46.8,46.8,0.384121,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
TT::put,13.010121,13.010121,0.0,0.0,10141070000,3.4,3.4,6.645600,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140246ed0
Attacks::attacks,9.498359,9.498359,0.0,0.0,131860865000,51.8,51.8,0.359098,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
"std::_Atomic_storage<unsigned __int64,8>::load",5.144653,5.144653,0.0,0.0,2599660000,2.2,2.2,10.285714,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024706d
Search::qsearch,4.883670,4.883670,0.0,0.0,37422525000,29.5,29.5,0.637135,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a5b0
Search::search,4.293710,4.293710,0.0,0.0,48462095000,42.2,42.2,0.444781,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208c50
Position::doMove,3.653753,3.653753,0.0,0.0,26499760000,24.5,24.5,0.718241,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238c80
MoveGenerator::getNextPseudoLegalMove,3.635754,3.635754,0.0,0.0,40492400000,43.0,43.0,0.441642,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023e1d0
MoveGenerator::updateSortValues,3.526762,3.526762,0.0,0.0,34131020000,35.5,35.5,0.506669,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x140240010
