Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
TT::put,34.131695,34.131695,0.0,0.0,55.7,55.7,12.8,0.0,58.5,0.0,41.1,0.7,2.5,18.3,0.0,0.0,0.3,0.0,100.0,,,29240185000,5.648264,4838795112.723501
TT::probe,31.806852,31.806852,0.0,0.0,48.5,48.5,9.3,0.0,49.5,7.2,62.2,0.4,3.0,25.1,3.3,0.0,0.0,0.0,0.0,,,23945025000,6.426141,4837766215.091861
Attacks::`anonymous namespace'::sliderLookup,16.249903,16.249903,0.0,0.0,4.3,4.3,13.4,0.8,2.1,1.3,13.6,6.0,8.3,1.1,0.0,0.0,0.0,0.0,100.0,,,165240140000,0.479555,4876442120.015876
TT::prefetch,13.745072,13.745072,0.0,0.0,47.4,47.4,7.8,0.2,54.5,0.2,57.3,0.5,3.1,13.5,0.0,0.0,0.0,0.0,0.0,,,20677480000,3.201912,4816815127.276734
"std::_Atomic_storage<unsigned __int64,8>::load",13.308101,13.308101,0.0,0.0,60.6,60.6,9.0,0.6,41.9,26.8,57.4,1.5,3.6,31.1,0.0,0.0,0.0,0.0,0.0,,,10611285000,6.080440,4848271235.845142
TT::prefetch,11.173246,11.173246,0.0,0.0,55.1,55.1,12.9,0.1,54.9,0.0,70.5,0.3,4.2,14.3,0.0,0.0,0.0,0.0,0.0,,,16792965000,3.153915,4740214464.815106
Attacks::attacks,9.880333,9.880333,0.0,0.0,7.6,7.6,12.9,1.0,4.0,0.4,8.3,1.0,1.3,2.9,0.1,0.0,0.2,0.0,100.0,,,104618345000,0.466949,4944311684.338731
Search::stopConditions,8.682414,8.682414,0.0,0.0,25.0,25.0,2.2,1.3,36.6,3.7,37.3,0.2,1.5,1.1,0.0,0.0,0.0,0.0,0.0,,,29914060000,1.392571,4797911778.195210
"std::_Atomic_storage<unsigned __int64,8>::load",6.883535,6.883535,0.0,0.0,43.9,43.9,14.0,0.0,49.6,0.0,43.1,0.3,9.6,50.6,0.0,0.0,0.0,0.0,0.0,,,359400000,93.175000,4864810612.524840
MoveGenerator::getNextPseudoLegalMove,5.970597,5.970597,0.0,0.0,30.2,30.2,0.0,0.0,18.7,0.1,33.0,0.6,3.1,5.0,0.2,0.0,0.1,0.0,100.0,,,31627200000,0.919413,4870276094.099648
