Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
TT::probe,34.855646,63.4,6.1,0.0,56.4,12.5,0.2,71.8,1.0,0.1,1.6,0.5,12159964788,9098772955,1500474,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x140247050
"std::_Atomic_storage<unsigned __int64,8>::load",23.246430,64.8,5.8,1.6,67.2,0.0,0.6,63.0,0.8,0.2,0.5,0.0,8870466106,4957048707,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246ef3
Attacks::`anonymous namespace'::sliderLookup,16.796866,6.4,10.5,1.2,2.8,1.3,1.6,11.1,7.2,0.1,0.0,0.0,51304539090,30947628401,1100462,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
Search::stopConditions,12.545153,27.6,3.4,0.3,32.7,6.2,2.1,40.6,1.3,0.1,0.2,0.0,17758232731,12037861125,0,frankycpp_v1.4.exe,Search::stopConditions(void),Search.cpp,0x14020d0f0
Attacks::attacks,10.709277,10.9,8.4,0.4,6.0,0.6,3.7,13.4,1.8,0.1,0.5,0.0,37604828111,21746352371,400012,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
TT::put,10.346301,59.7,4.1,2.6,58.4,0.0,1.0,60.8,1.9,0.2,3.6,0.0,3253797611,1821654648,0,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140246ed0
"std::_Atomic_storage<unsigned __int64,8>::load",5.534626,75.8,2.0,0.0,10.5,68.7,0.1,75.4,0.9,0.2,4.2,0.0,1166034980,683520505,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024706d
Search::qsearch,5.237646,19.6,7.6,0.2,14.8,2.2,8.3,36.5,12.8,0.1,0.7,0.0,11423542696,5067452019,0,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a5b0
Search::search,4.794676,13.4,6.5,0.0,8.4,0.8,6.8,19.6,5.2,0.1,0.4,0.0,14515335447,6624898741,0,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208c50
MoveGenerator::getNextPseudoLegalMove,4.092724,21.7,1.1,0.1,11.5,0.1,25.4,18.8,2.3,0.1,0.2,0.0,11895356850,4901947054,2450717,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023e1d0
