Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::put,32.210854,32.210854,0.0,0.0,25670145000,2.9,2.9,6.689301,frankycpp_v1.5.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14024a990
engine::TT::probe,19.608694,19.608694,0.0,0.0,18431230000,3.7,3.7,5.519012,frankycpp_v1.5.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14024abd0
engine::TT::prefetch,10.471303,10.471303,0.0,0.0,13878830000,4.8,4.8,3.936772,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020c771
engine::TT::prefetch,9.977335,9.977335,0.0,0.0,12749715000,5.0,5.0,4.050505,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020baf6
chess::Attacks::`anonymous namespace'::sliderLookup,6.956537,6.956537,0.0,0.0,92587430000,44.1,44.1,0.385521,frankycpp_v1.5.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x1401694e0
engine::Search::stopConditions,5.389641,5.389641,0.0,0.0,19123075000,14.6,14.6,1.457009,frankycpp_v1.5.exe,engine::Search::stopConditions(void),Search.cpp,0x14020edf0
chess::Attacks::attacks,5.065663,5.065663,0.0,0.0,65830100000,43.9,43.9,0.406824,frankycpp_v1.5.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x140169540
"std::_Atomic_storage<unsigned __int64,8>::store",4.012733,4.012733,0.0,0.0,2123455000,2.0,2.0,9.973202,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024ab93
"std::_Atomic_storage<unsigned __int64,8>::load",3.198787,3.198787,0.0,0.0,6382345000,6.4,6.4,2.572970,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024ac03
engine::Evaluator::pieceEval,2.638824,2.638824,0.0,0.0,18778650000,22.9,22.9,0.742265,frankycpp_v1.5.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x140248ec0
engine::Search::search,2.618826,2.618826,0.0,0.0,26263155000,35.8,35.8,0.504162,frankycpp_v1.5.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14020a770
"std::_Atomic_storage<unsigned __int64,8>::store",2.495834,2.495834,0.0,0.0,3213635000,3.7,3.7,3.979497,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024aa78
engine::Search::qsearch,2.492834,2.492834,0.0,0.0,17041550000,24.7,24.7,0.735677,frankycpp_v1.5.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x14020c1a0
engine::PawnTT::probe,1.766882,1.766882,0.0,0.0,7559380000,16.2,16.2,1.233360,frankycpp_v1.5.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140246e70
engine::Evaluator::evaluate,1.706886,1.706886,0.0,0.0,15714765000,29.9,29.9,0.550791,frankycpp_v1.5.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x1402487a0
engine::PawnTT::prefetch,1.684888,1.684888,0.0,0.0,272545000,1.1,1.1,31.494505,frankycpp_v1.5.exe,engine::PawnTT::prefetch,PawnTT.h,0x14020c79e
engine::Search::thread,1.571895,1.571895,0.0,0.0,374375000,1.0,1.0,21.584000,frankycpp_v1.5.exe,engine::Search::thread,Search.h,0x14020c783
